Inconsistent Star Records: 
The following [6796] records are dropped because same [name] [birthYear] exist in the database
Star Details - Name:Kabir Bedi, BirthYear:1935.
Star Details - Name:Betty Hutton, BirthYear:1921.
Star Details - Name:Rudolph Forster, BirthYear:1884.
Star Details - Name:Wylie Watson, BirthYear:1889.
Star Details - Name:Bobby H. Charles, BirthYear:.
Star Details - Name:Art Ellison, BirthYear:.
Star Details - Name:Marilyn Eastman, BirthYear:.
Star Details - Name:Fay Holden, BirthYear:1894.
Star Details - Name:Robert Hooks, BirthYear:1937.
Star Details - Name:Joel Gray, BirthYear:.
Star Details - Name:Laura Hope Crews, BirthYear:1880.
Star Details - Name:Gail Patrick, BirthYear:1911.
Star Details - Name:Tatsuta Mihashi, BirthYear:.
Star Details - Name:Norman Lloyd, BirthYear:1914.
Star Details - Name:Zack Taylor, BirthYear:.
Star Details - Name:Thomas vonBromssen, BirthYear:.
Star Details - Name:Lilian Harvey, BirthYear:1906.
Star Details - Name:Albert Salmi, BirthYear:1928.
Star Details - Name:Joy Shelton, BirthYear:1922.
Star Details - Name:Diane McBain, BirthYear:1941.
Star Details - Name:Claude Dauphin, BirthYear:1903.
Star Details - Name:Helen Chandler, BirthYear:1909.
Star Details - Name:John Leyton, BirthYear:1939.
Star Details - Name:Willard Robertson, BirthYear:1886.
Star Details - Name:Breno Mello, BirthYear:.
Star Details - Name:Edward Norris, BirthYear:1910.
Star Details - Name:Alex Cord, BirthYear:1931.
Star Details - Name:Michael Trubshawe, BirthYear:.
Star Details - Name:Wendell Cory, BirthYear:.
Star Details - Name:Mary Carr, BirthYear:1874.
Star Details - Name:Tab Hunter, BirthYear:1931.
Star Details - Name:Dorothy Tutin, BirthYear:1930.
Star Details - Name:Tom Powers, BirthYear:1890.
Star Details - Name:Harry Andrews, BirthYear:1911.
Star Details - Name:Diana McLean, BirthYear:.
Star Details - Name:Virginia Maskell, BirthYear:1936.
Star Details - Name:Kathleen Lockhart, BirthYear:1893.
Star Details - Name:Krista Errickson, BirthYear:.
Star Details - Name:John Shelton, BirthYear:1917.
Star Details - Name:Jackie Cooper, BirthYear:1921.
Star Details - Name:Paul Cavanagh, BirthYear:1895.
Star Details - Name:Janet Leigh, BirthYear:1927.
Star Details - Name:Terry Jones, BirthYear:.
Star Details - Name:Harvey Lembeck, BirthYear:1925.
Star Details - Name:Twiggy, BirthYear:1946.
Star Details - Name:Anne Byrne, BirthYear:.
Star Details - Name:Helen Kallianoites, BirthYear:.
Star Details - Name:Basil Sydney, BirthYear:1894.
Star Details - Name:Patrick McGoohan, BirthYear:1928.
Star Details - Name:Joyce VanPatten, BirthYear:1934.
Star Details - Name:Alfred Hitchcock, BirthYear:1899.
Star Details - Name:Marianne Stone, BirthYear:1920.
Star Details - Name:Johnny Sheffield, BirthYear:1931.
Star Details - Name:David Dukes, BirthYear:.
Star Details - Name:Frances Sternhagen, BirthYear:.
Star Details - Name:Fritz Weaver, BirthYear:1926.
Star Details - Name:James Darren, BirthYear:1936.
Star Details - Name:Joe Regalbuto, BirthYear:.
Star Details - Name:Maria Callas, BirthYear:1923.
Star Details - Name:Bruce Davison, BirthYear:1948.
Star Details - Name:Jeffrey Kramer, BirthYear:.
Star Details - Name:Alice Krige, BirthYear:.
Star Details - Name:Ralph Macchio, BirthYear:.
Star Details - Name:George Peppard, BirthYear:1929.
Star Details - Name:Murray Melvin, BirthYear:1932.
Star Details - Name:Donna Wilkes, BirthYear:.
Star Details - Name:Dennis Quaid, BirthYear:1955.
Star Details - Name:Marion Marsh, BirthYear:1913.
Star Details - Name:Huntz Hall, BirthYear:1920.
Star Details - Name:George Reeves, BirthYear:1932.
Star Details - Name:Michael OShea, BirthYear:1906.
Star Details - Name:Frederic dePasquale, BirthYear:.
Star Details - Name:Cathy Lee Crosby, BirthYear:.
Star Details - Name:Don Rickles, BirthYear:1926.
Star Details - Name:Osgood Perkins, BirthYear:1892.
Star Details - Name:Marian Nixon, BirthYear:1904.
Star Details - Name:Mikhail Rasumny, BirthYear:1890.
Star Details - Name:Curt Jurgens, BirthYear:1912.
Star Details - Name:Barbara Rush, BirthYear:1927.
Star Details - Name:Wendy Hughes, BirthYear:.
Star Details - Name:Harold Lloyd, BirthYear:1893.
Star Details - Name:Raymond Cloutier, BirthYear:.
Star Details - Name:Stephan W. Burns, BirthYear:.
Star Details - Name:William Conrad, BirthYear:1920.
Star Details - Name:Delphine Seyrig, BirthYear:1932.
Star Details - Name:Anthony Newlands, BirthYear:1926.
Star Details - Name:Kathleen Harrison, BirthYear:1898.
Star Details - Name:Janet Blair, BirthYear:1921.
Star Details - Name:Yoko Ono, BirthYear:.
Star Details - Name:Kitty Winn, BirthYear:.
Star Details - Name:Veronica Hart, BirthYear:.
Star Details - Name:Ethel Clayton, BirthYear:1884.
Star Details - Name:Pat Brady, BirthYear:.
Star Details - Name:Caitlin Clarke, BirthYear:.
Star Details - Name:Ava Gardner, BirthYear:1922.
Star Details - Name:John Richardson, BirthYear:1936.
Star Details - Name:Sarah Bay, BirthYear:.
Star Details - Name:Susan Berman, BirthYear:.
Star Details - Name:Kevin VanHentenryck, BirthYear:.
Star Details - Name:Anna Q. Nilsson, BirthYear:1889.
Star Details - Name:Jeanie MacPherson, BirthYear:1878.
Star Details - Name:Christie Wagner, BirthYear:.
