id,name,birthYear
nm9429832,Fr\'ed\'ric Andrei,\N
nm9429833,Ren\`ee Asherson,1920
nm9429834,Val\'erie Bonnier,\N
nm9429835,Fifi D\'Orsay,1904
nm9429836,Fernando Guill\'en,\N
nm9429837,Ren\'ee Houston,1901
nm9429838,Fr\'ed\'erique Jamet,\N
nm9429839,Jackie \'Butch' Jenkins,1937
nm9429840,Allan \'Rocky' Lane,1901
nm9429841,L\'eon M. Lion,\N
nm9429842,Francois P\'erier,1919
nm9429843,Noel Roquev\'ert,1894
nm9429844,\'Slapsie' Maxie Rosenbloom,1906
nm9429845,Mel Torm\'e,1923
